id,cos_10,cos_20,sim_10,sim_20,com_1_1_10,com_1_1_20,com_1_3_10,com_1_3_20,com_1_5_10,com_1_5_20,com_1_7_10,com_1_7_20,com_1_9_10,com_1_9_20,com_3_1_10,com_3_1_20,com_3_3_10,com_3_3_20,com_3_5_10,com_3_5_20,com_3_7_10,com_3_7_20,com_3_9_10,com_3_9_20,com_5_1_10,com_5_1_20,com_5_3_10,com_5_3_20,com_5_5_10,com_5_5_20,com_5_7_10,com_5_7_20,com_5_9_10,com_5_9_20,com_7_1_10,com_7_1_20,com_7_3_10,com_7_3_20,com_7_5_10,com_7_5_20,com_7_7_10,com_7_7_20,com_7_9_10,com_7_9_20,com_9_1_10,com_9_1_20,com_9_3_10,com_9_3_20,com_9_5_10,com_9_5_20,com_9_7_10,com_9_7_20,com_9_9_10,com_9_9_20
45,3,6,1,1,0,3,0,2,0,2,0,2,0,2,3,7,0,3,0,3,2,2,0,2,2,8,0,6,0,3,0,3,0,3,3,7,4,6,0,5,0,3,0,3,3,7,3,7,0,6,0,4,0,3
46,0,10,0,1,1,4,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,9,0,5,1,4,0,2,0,0,0,9,4,6,3,5,1,4,0,2,0,9,0,6,0,6,0,5,1,4
47,0,2,0,2,0,3,0,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
48,0,2,0,2,0,3,0,4,0,2,0,2,0,2,2,2,0,3,0,3,0,4,0,4,2,2,0,2,0,3,0,2,0,3,0,2,0,2,0,2,0,3,0,2,0,2,2,2,1,2,0,2,0,3
49,0,5,0,1,1,1,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,1,0,1,1,4,1,1,1,1,0,1,0,1,0,5,0,1,0,1,1,1,0,1,0,5,0,2,0,1,1,1,1,1
50,0,3,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,0,4,0,4,0,3,0,4,0,4,0,4,0,3,0,3,0,4,0,4,0,4,0,4,0,3,0,4,0,4,0,4,0,4
51,0,8,4,10,0,6,0,10,6,11,6,10,5,10,0,8,0,6,0,7,5,10,0,10,0,8,0,8,0,6,0,7,5,8,0,8,0,8,0,7,0,6,0,6,0,8,0,8,0,8,0,7,0,6
52,8,12,5,7,7,11,0,10,4,10,4,10,4,11,8,12,7,11,0,10,6,10,0,10,8,12,8,11,7,11,7,11,0,10,8,12,8,12,0,12,7,11,0,11,8,12,8,12,8,11,7,11,7,11
53,0,6,0,4,0,6,1,3,0,4,0,4,0,4,5,6,0,6,0,6,1,3,1,3,5,6,4,6,0,6,0,6,0,5,0,6,0,6,3,6,0,6,0,5,0,6,5,6,4,6,3,6,0,6
54,0,9,7,11,0,12,6,12,6,10,7,9,7,9,0,10,0,12,7,11,7,13,6,12,6,10,7,11,0,12,7,12,7,11,0,10,0,11,0,11,0,12,0,12,5,10,0,10,7,11,0,11,0,12
55,0,2,0,5,0,0,0,5,0,5,0,5,3,5,0,1,0,0,0,2,0,5,0,5,0,1,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
56,6,8,0,0,0,8,0,4,1,4,0,3,0,2,5,7,0,8,3,6,0,4,0,4,5,8,0,8,0,8,3,5,0,5,0,8,5,6,0,7,0,8,3,6,0,8,5,7,0,8,4,7,0,8
57,0,4,0,3,0,4,0,7,0,7,0,6,0,4,1,4,0,4,0,6,0,7,0,7,1,4,0,4,0,4,0,5,4,6,0,4,0,5,3,5,0,4,0,5,0,4,1,4,2,5,3,5,0,4
58,4,10,0,5,4,8,0,8,4,8,4,8,4,8,4,8,4,8,0,8,0,9,0,8,4,8,0,9,4,8,0,8,0,9,5,9,4,8,0,9,4,8,4,8,5,9,4,8,0,9,0,8,4,8
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,11,6,9,0,11,0,9,0,10,7,10,7,10,9,11,0,11,0,10,0,9,0,9,9,11,8,10,0,11,7,10,0,10,8,11,0,11,0,10,0,11,7,9,8,11,9,11,8,10,0,10,0,11
61,4,6,0,8,0,8,4,7,4,8,0,8,0,8,0,5,0,8,5,6,4,6,4,7,4,6,3,8,0,8,0,6,5,6,4,6,4,7,0,8,0,8,0,7,4,6,0,5,3,8,0,8,0,8
62,9,13,0,0,0,12,0,1,0,0,0,0,0,0,0,13,0,12,0,7,0,3,0,1,9,12,8,13,0,12,3,9,2,7,9,12,8,13,8,13,0,12,0,10,9,12,0,13,8,13,7,13,0,12
63,0,8,5,13,0,13,0,12,0,13,0,13,0,13,0,11,0,13,0,13,0,12,0,12,6,10,6,13,0,13,0,12,0,12,0,10,6,11,6,13,0,13,8,12,0,9,0,11,6,13,6,13,0,13
